Angle,Intensity
18.97454821,1407
18.98767849,1405
19.00080877,1342
19.01393906,1363
19.02706934,1339
19.04019962,1364
19.05332991,1373
19.06646019,1278
19.07959047,1293
19.09272075,1278
19.10585104,1343
19.11898132,1314
19.1321116,1373
19.14524188,1326
19.15837217,1386
19.17150245,1301
19.18463273,1483
19.19776301,1411
19.2108933,1368
19.22402358,1399
19.23715386,1314
19.25028415,1310
19.26341443,1368
19.27654471,1316
19.28967499,1376
19.30280528,1390
19.31593556,1332
19.32906584,1320
19.34219612,1324
19.35532641,1404
19.36845669,1396
19.38158697,1309
19.39471725,1378
19.40784754,1291
19.42097782,1307
19.4341081,1383
19.44723839,1351
19.46036867,1289
19.47349895,1306
19.48662923,1387
19.49975952,1340
19.5128898,1323
19.52602008,1446
19.53915036,1383
19.55228065,1405
19.56541093,1358
19.57854121,1379
19.59167149,1381
19.60480178,1310
19.61793206,1363
19.63106234,1325
19.64419263,1349
19.65732291,1333
19.67045319,1342
19.68358347,1331
19.69671376,1318
19.70984404,1341
19.72297432,1357
19.7361046,1346
19.74923489,1374
19.76236517,1347
19.77549545,1348
19.78862574,1339
19.80175602,1349
19.8148863,1278
19.82801658,1334
19.84114687,1390
19.85427715,1334
19.86740743,1282
19.88053771,1365
19.893668,1421
19.90679828,1391
19.91992856,1291
19.93305884,1339
19.94618913,1341
19.95931941,1337
